ProductKey,productKey,productName,cost,productSubCategoryName,productCategoryName,Color,Size,ProductLine,ModelName,EnglishDescription,status
215,HL-U509,"Sport-100 Helmet, Black",12.0278,Helmets,Accessories,Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
212,HL-U509-R,"Sport-100 Helmet, Red",12.0278,Helmets,Accessories,Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
518,SE-R581,LL Road Seat/Saddle,12.0413,Saddles,Components,NA,NULL,"R ",LL Road Seat/Saddle 1,Lightweight foam-padded saddle.,Current
515,SE-M236,LL Mountain Seat/Saddle,12.0413,Saddles,Components,NA,NULL,"M ",LL Mountain Seat/Saddle 2,Synthetic leather. Features gel for increased comfort.,Current
521,SE-T312,LL Touring Seat/Saddle,12.0413,Saddles,Components,NA,NULL,"T ",LL Touring Seat/Saddle,"Comfortable, ergonomically shaped gel saddle.",Current
540,TI-R982,HL Road Tire,12.1924,Tires and Tubes,Accessories,NA,NULL,"R ",HL Road Tire,Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.,Current
214,HL-U509-R,"Sport-100 Helmet, Red",13.0863,Helmets,Accessories,Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
217,HL-U509,"Sport-100 Helmet, Black",13.0863,Helmets,Accessories,Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
222,HL-U509-B,"Sport-100 Helmet, Blue",13.0863,Helmets,Accessories,Blue,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
537,TI-M823,HL Mountain Tire,13.09,Tires and Tubes,Accessories,NA,NULL,"M ",HL Mountain Tire,"Incredible traction, lightweight carbon reinforced.",Current
216,HL-U509,"Sport-100 Helmet, Black",13.8782,Helmets,Accessories,Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
221,HL-U509-B,"Sport-100 Helmet, Blue",13.8782,Helmets,Accessories,Blue,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
213,HL-U509-R,"Sport-100 Helmet, Red",13.8782,Helmets,Accessories,Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
451,LT-H902,Headlights - Dual-Beam,14.4334,Lights,Accessories,NA,NULL,"R ",Headlights - Dual-Beam,Rechargeable dual-beam headlight.,Outdate
394,HS-0296,LL Headset,15.1848,Headsets,Components,NA,NULL,NULL,LL Headset,Threadless headset provides quality at an economical price.,Outdate
468,GL-F110-S,"Full-Finger Gloves, S",15.6709,Gloves,Clothing,Black,S,"M ",Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",Outdate
469,GL-F110-M,"Full-Finger Gloves, M",15.6709,Gloves,Clothing,Black,M,"M ",Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",Outdate
470,GL-F110-L,"Full-Finger Gloves, L",15.6709,Gloves,Clothing,Black,L,"M ",Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",Outdate
522,SE-T762,ML Touring Seat/Saddle,17.3782,Saddles,Components,NA,NULL,"T ",ML Touring Seat/Saddle,New design relieves pressure for long rides.,Current
516,SE-M798,ML Mountain Seat/Saddle,17.3782,Saddles,Components,NA,NULL,"M ",ML Mountain Seat/Saddle 2,Designed to absorb shock.,Current
519,SE-R908,ML Road Seat/Saddle,17.3782,Saddles,Components,NA,NULL,"T ",ML Road Seat/Saddle 2,Rubber bumpers absorb bumps.,Current
542,PD-M282,LL Mountain Pedal,17.9776,Pedals,Components,Silver/Black,NULL,"M ",LL Mountain Pedal,Expanded platform so you can ride in any shoes; great for all-around riding.,Current
545,PD-R347,LL Road Pedal,17.9776,Pedals,Components,Silver/Black,NULL,"R ",LL Road Pedal,Clipless pedals - aluminum.,Current
397,HB-M243,LL Mountain Handlebars,17.978,Handlebars,Components,NA,NULL,"M ",LL Mountain Handlebars,All-purpose bar for on or off-road.,Outdate
403,HB-R504,LL Road Handlebars,17.978,Handlebars,Components,NA,NULL,"R ",LL Road Handlebars,Unique shape provides easier reach to the levers.,Outdate
452,LT-H903,Headlights - Weatherproof,18.5584,Lights,Accessories,NA,NULL,"R ",Headlights - Weatherproof,Rugged weatherproof headlight.,Outdate
404,HB-R504,LL Road Handlebars,19.7758,Handlebars,Components,NA,NULL,"R ",LL Road Handlebars,Unique shape provides easier reach to the levers.,Current
398,HB-M243,LL Mountain Handlebars,19.7758,Handlebars,Components,NA,NULL,"M ",LL Mountain Handlebars,All-purpose bar for on or off-road.,Current
553,HB-T721,LL Touring Handlebars,20.464,Handlebars,Components,NA,NULL,"T ",LL Touring Handlebars,Unique shape reduces fatigue for entry level riders.,Current
487,HY-1023-70,Hydration Pack - 70 oz.,20.5663,Hydration Packs,Accessories,Silver,70,"S ",Hydration Pack,"Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt.",Current
520,SE-R995,HL Road Seat/Saddle,23.3722,Saddles,Components,NA,NULL,"R ",HL Road Seat/Saddle 2,Lightweight kevlar racing saddle. Leather.,Current
517,SE-M940,HL Mountain Seat/Saddle,23.3722,Saddles,Components,NA,NULL,"M ",HL Mountain Seat/Saddle 2,Anatomic design for a full-day of riding in comfort. Durable leather.,Current
523,SE-T924,HL Touring Seat/Saddle,23.3722,Saddles,Components,NA,NULL,"T ",HL Touring Seat/Saddle,Cut-out shell for a more comfortable ride.,Current
471,VE-C304-S,"Classic Vest, S",23.749,Vests,Clothing,Blue,S,"S ",Classic Vest,"Light-weight, wind-resistant, packs to fit into a pocket.",Current
472,VE-C304-M,"Classic Vest, M",23.749,Vests,Clothing,Blue,M,"S ",Classic Vest,"Light-weight, wind-resistant, packs to fit into a pocket.",Current
473,VE-C304-L,"Classic Vest, L",23.749,Vests,Clothing,Blue,L,"S ",Classic Vest,"Light-weight, wind-resistant, packs to fit into a pocket.",Current
601,BB-7421,LL Bottom Bracket,23.9716,Bottom Brackets,Components,NA,NULL,NULL,LL Bottom Bracket,Chromoly steel.,Current
445,SH-M897-S,"Men's Sports Shorts, S",24.7459,Shorts,Clothing,Black,S,"S ",Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Outdate
453,SH-M897-M,"Men's Sports Shorts, M",24.7459,Shorts,Clothing,Black,M,"S ",Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Outdate
454,SH-M897-L,"Men's Sports Shorts, L",24.7459,Shorts,Clothing,Black,L,"S ",Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Outdate
455,SH-M897-X,"Men's Sports Shorts, XL",24.7459,Shorts,Clothing,Black,XL,"S ",Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,Outdate
399,HB-M763,ML Mountain Handlebars,24.9932,Handlebars,Components,NA,NULL,"M ",ML Mountain Handlebars,Tough aluminum alloy bars for downhill.,Outdate
405,HB-R720,ML Road Handlebars,24.9932,Handlebars,Components,NA,NULL,"R ",ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.,Outdate
474,SH-W890-S,"Women's Mountain Shorts, S",26.1763,Shorts,Clothing,Black,S,"M ",Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",Current
475,SH-W890-M,"Women's Mountain Shorts, M",26.1763,Shorts,Clothing,Black,M,"M ",Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",Current
476,SH-W890-L,"Women's Mountain Shorts, L",26.1763,Shorts,Clothing,Black,L,"M ",Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",Current
410,FW-M423,LL Mountain Front Wheel,26.9708,Wheels,Components,Black,NULL,"M ",LL Mountain Front Wheel,Replacement mountain wheel for entry-level rider.,Outdate
406,HB-R720,ML Road Handlebars,27.4925,Handlebars,Components,NA,NULL,"R ",ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.,Current
400,HB-M763,ML Mountain Handlebars,27.4925,Handlebars,Components,NA,NULL,"M ",ML Mountain Handlebars,Tough aluminum alloy bars for downhill.,Current
546,PD-R563,ML Road Pedal,27.568,Pedals,Components,Silver/Black,NULL,"R ",ML Road Pedal,Lightweight aluminum alloy construction.,Current
543,PD-M340,ML Mountain Pedal,27.568,Pedals,Components,Silver/Black,NULL,"M ",ML Mountain Pedal,"Lightweight, durable, clipless pedal with adjustable tension.",Current
227,LJ-0192-S,"Long-Sleeve Logo Jersey, S",29.0807,Jerseys,Clothing,Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
230,LJ-0192-M,"Long-Sleeve Logo Jersey, M",29.0807,Jerseys,Clothing,Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
233,LJ-0192-L,"Long-Sleeve Logo Jersey, L",29.0807,Jerseys,Clothing,Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
236,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",29.0807,Jerseys,Clothing,Multi,XL,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
456,TG-W091-S,"Women's Tights, S",30.9334,Tights,Clothing,Black,S,"S ",Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,Outdate
457,TG-W091-M,"Women's Tights, M",30.9334,Tights,Clothing,Black,M,"S ",Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,Outdate
458,TG-W091-L,"Women's Tights, L",30.9334,Tights,Clothing,Black,L,"S ",Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,Outdate
229,LJ-0192-M,"Long-Sleeve Logo Jersey, M",31.7244,Jerseys,Clothing,Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
232,LJ-0192-L,"Long-Sleeve Logo Jersey, L",31.7244,Jerseys,Clothing,Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
235,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",31.7244,Jerseys,Clothing,Multi,XL,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
226,LJ-0192-S,"Long-Sleeve Logo Jersey, S",31.7244,Jerseys,Clothing,Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
544,PD-M562,HL Mountain Pedal,35.9596,Pedals,Components,Silver/Black,NULL,"M ",HL Mountain Pedal,Stainless steel; designed to shed mud easily.,Current
547,PD-R853,HL Road Pedal,35.9596,Pedals,Components,Silver/Black,NULL,"R ",HL Road Pedal,Top-of-the-line clipless pedals with adjustable tension.,Current
548,PD-T852,Touring Pedal,35.9596,Pedals,Components,Silver/Black,NULL,"T ",Touring Pedal,A stable pedal for all-day riding.,Current
459,SB-M891-S,"Men's Bib-Shorts, S",37.1209,Bib-Shorts,Clothing,Multi,S,"S ",Men's Bib-Shorts,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",Outdate
460,SB-M891-M,"Men's Bib-Shorts, M",37.1209,Bib-Shorts,Clothing,Multi,M,"S ",Men's Bib-Shorts,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",Outdate
461,SB-M891-L,"Men's Bib-Shorts, L",37.1209,Bib-Shorts,Clothing,Multi,L,"S ",Men's Bib-Shorts,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",Outdate
413,FW-R623,LL Road Front Wheel,37.9909,Wheels,Components,Black,NULL,"R ",LL Road Front Wheel,Replacement road front wheel for entry-level cyclist.,Outdate
231,LJ-0192-M,"Long-Sleeve Logo Jersey, M",38.4923,Jerseys,Clothing,Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
228,LJ-0192-S,"Long-Sleeve Logo Jersey, S",38.4923,Jerseys,Clothing,Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
234,LJ-0192-L,"Long-Sleeve Logo Jersey, L",38.4923,Jerseys,Clothing,Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
237,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",38.4923,Jerseys,Clothing,Multi,XL,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
419,RW-M423,LL Mountain Rear Wheel,38.9588,Wheels,Components,Black,NULL,"M ",LL Mountain Rear Wheel,Replacement mountain wheel for entry-level rider.,Outdate
552,FD-2342,Front Derailleur,40.6216,Derailleurs,Components,Silver,NULL,NULL,Front Derailleur,Wide-link design.,Current
554,HB-T928,HL Touring Handlebars,40.6571,Handlebars,Components,NA,NULL,"T ",HL Touring Handlebars,A light yet stiff aluminum bar for long distance riding.,Current
488,SJ-0194-S,"Short-Sleeve Classic Jersey, S",41.5723,Jerseys,Clothing,Yellow,S,"S ",Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",Current
489,SJ-0194-M,"Short-Sleeve Classic Jersey, M",41.5723,Jerseys,Clothing,Yellow,M,"S ",Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",Current
490,SJ-0194-L,"Short-Sleeve Classic Jersey, L",41.5723,Jerseys,Clothing,Yellow,L,"S ",Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",Current
491,SJ-0194-X,"Short-Sleeve Classic Jersey, XL",41.5723,Jerseys,Clothing,Yellow,XL,"S ",Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",Current
483,RA-H123,Hitch Rack - 4-Bike,44.88,Bike Racks,Accessories,NA,NULL,"S ",Hitch Rack - 4-Bike,"Carries 4 bikes securely; steel construction, fits 2"" receiver hitch.",Current
602,BB-8107,ML Bottom Bracket,44.9506,Bottom Brackets,Components,NA,NULL,NULL,ML Bottom Bracket,Aluminum alloy cups; large diameter spindle.,Current
395,HS-2451,ML Headset,45.4168,Headsets,Components,NA,NULL,NULL,ML Headset,Sealed cartridge keeps dirt out.,Outdate
555,FB-9873,Front Brakes,47.286,Brakes,Components,Silver,NULL,NULL,Front Brakes,All-weather brake pads; provides superior stopping by applying more surface to the rim.,Current
514,RB-9231,Rear Brakes,47.286,Brakes,Components,Silver,NULL,NULL,Rear Brakes,NULL,Current
401,HB-M918,HL Mountain Handlebars,48.5453,Handlebars,Components,NA,NULL,"M ",HL Mountain Handlebars,Flat bar strong enough for the pro circuit.,Outdate
407,HB-R956,HL Road Handlebars,48.5453,Handlebars,Components,NA,NULL,"R ",HL Road Handlebars,Designed for racers; high-end anatomically shaped bar from aluminum alloy.,Outdate
422,RW-R623,LL Road Rear Wheel,49.9789,Wheels,Components,Black,NULL,"R ",LL Road Rear Wheel,Replacement road rear wheel for entry-level cyclist.,Outdate
446,PA-T100,"Touring-Panniers, Large",51.5625,Panniers,Accessories,Grey,NULL,"T ",Touring-Panniers,"Durable, water-proof nylon construction with easy access. Large enough for weekend trips.",Outdate
408,HB-R956,HL Road Handlebars,53.3999,Handlebars,Components,NA,NULL,"R ",HL Road Handlebars,Designed for racers; high-end anatomically shaped bar from aluminum alloy.,Current
402,HB-M918,HL Mountain Handlebars,53.3999,Handlebars,Components,NA,NULL,"M ",HL Mountain Handlebars,Flat bar strong enough for the pro circuit.,Current
501,RD-2308,Rear Derailleur,53.9282,Derailleurs,Components,Silver,NULL,NULL,Rear Derailleur,Wide-link design.,Current
603,BB-9108,HL Bottom Bracket,53.9416,Bottom Brackets,Components,NA,NULL,NULL,HL Bottom Bracket,Aluminum alloy cups and a hollow axle.,Current
396,HS-3479,HL Headset,55.3801,Headsets,Components,NA,NULL,NULL,HL Headset,"High-quality 1"" threadless headset with a grease port for quick lubrication.",Outdate
486,ST-1401,All-Purpose Bike Stand,59.466,Bike Stands,Accessories,NA,NULL,"M ",All-Purpose Bike Stand,Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.,Current
391,FK-1639,LL Fork,65.8097,Forks,Components,NA,NULL,NULL,LL Fork,Stout design absorbs shock and offers more precise steering.,Outdate
392,FK-5136,ML Fork,77.9176,Forks,Components,NA,NULL,NULL,ML Fork,Composite road fork with an aluminum steerer tube.,Outdate
556,CS-4759,LL Crankset,77.9176,Cranksets,Components,Black,NULL,NULL,LL Crankset,Super rigid spindle.,Current
411,FW-M762,ML Mountain Front Wheel,92.8071,Wheels,Components,Black,NULL,"M ",ML Mountain Front Wheel,Replacement mountain wheel for the casual to serious rider.,Outdate
416,FW-T905,Touring Front Wheel,96.7964,Wheels,Components,Black,NULL,"T ",Touring Front Wheel,Aerodynamic rims for smooth riding.,Outdate
393,FK-9939,HL Fork,101.8936,Forks,Components,NA,NULL,NULL,HL Fork,High-performance carbon road fork with curved legs.,Outdate
420,RW-M762,ML Mountain Rear Wheel,104.7951,Wheels,Components,Black,NULL,"M ",ML Mountain Rear Wheel,Replacement mountain wheel for the casual to serious rider.,Outdate
425,RW-T905,Touring Rear Wheel,108.7844,Wheels,Components,Black,NULL,"T ",Touring Rear Wheel,Excellent aerodynamic rims guarantee a smooth ride.,Outdate
414,FW-R762,ML Road Front Wheel,110.2829,Wheels,Components,Black,NULL,"R ",ML Road Front Wheel,Sturdy alloy features a quick-release hub.,Outdate
557,CS-6583,ML Crankset,113.8816,Cranksets,Components,Black,NULL,NULL,ML Crankset,High-strength crank arm.,Current
423,RW-R762,ML Road Rear Wheel,122.2709,Wheels,Components,Black,NULL,"R ",ML Road Rear Wheel,Aluminum alloy rim with stainless steel spokes; built for speed.,Outdate
412,FW-M928,HL Mountain Front Wheel,133.2955,Wheels,Components,Black,NULL,"M ",HL Mountain Front Wheel,High-performance mountain replacement wheel.,Outdate
531,FR-M21B-42,"LL Mountain Frame - Black, 42",136.785,Mountain Frames,Components,Black,42,"M ",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Current
532,FR-M21B-44,"LL Mountain Frame - Black, 44",136.785,Mountain Frames,Components,Black,44,"M ",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Current
533,FR-M21B-48,"LL Mountain Frame - Black, 48",136.785,Mountain Frames,Components,Black,48,"M ",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Current
534,FR-M21B-52,"LL Mountain Frame - Black, 52",136.785,Mountain Frames,Components,Black,52,"M ",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Current
550,FR-M21B-40,"LL Mountain Frame - Black, 40",136.785,Mountain Frames,Components,Black,40,"M ",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Current
551,FR-M21S-40,"LL Mountain Frame - Silver, 40",144.5938,Mountain Frames,Components,Silver,40,"M ",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Current
524,FR-M21S-42,"LL Mountain Frame - Silver, 42",144.5938,Mountain Frames,Components,Silver,42,"M ",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Current
525,FR-M21S-44,"LL Mountain Frame - Silver, 44",144.5938,Mountain Frames,Components,Silver,44,"M ",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Current
526,FR-M21S-48,"LL Mountain Frame - Silver, 48",144.5938,Mountain Frames,Components,Silver,48,"M ",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Current
527,FR-M21S-52,"LL Mountain Frame - Silver, 52",144.5938,Mountain Frames,Components,Silver,52,"M ",LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",Current
421,RW-M928,HL Mountain Rear Wheel,145.2835,Wheels,Components,Black,NULL,"M ",HL Mountain Rear Wheel,High-performance mountain replacement wheel.,Outdate
415,FW-R820,HL Road Front Wheel,146.5466,Wheels,Components,Black,NULL,"R ",HL Road Front Wheel,Strong wheel with double-walled rim.,Outdate
424,RW-R820,HL Road Rear Wheel,158.5346,Wheels,Components,Black,NULL,"R ",HL Road Rear Wheel,Strong rear wheel with double-walled rim.,Outdate
254,FR-R38B-58,"LL Road Frame - Black, 58",170.1428,Road Frames,Components,Black,58,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
257,FR-R38B-60,"LL Road Frame - Black, 60",170.1428,Road Frames,Components,Black,60,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
260,FR-R38B-62,"LL Road Frame - Black, 62",170.1428,Road Frames,Components,Black,62,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
280,FR-R38B-44,"LL Road Frame - Black, 44",170.1428,Road Frames,Components,Black,44,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
286,FR-R38B-52,"LL Road Frame - Black, 52",170.1428,Road Frames,Components,Black,52,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
283,FR-R38B-48,"LL Road Frame - Black, 48",170.1428,Road Frames,Components,Black,48,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
279,FR-R38B-44,"LL Road Frame - Black, 44",176.1997,Road Frames,Components,Black,44,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
282,FR-R38B-48,"LL Road Frame - Black, 48",176.1997,Road Frames,Components,Black,48,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
256,FR-R38B-60,"LL Road Frame - Black, 60",176.1997,Road Frames,Components,Black,60,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
259,FR-R38B-62,"LL Road Frame - Black, 62",176.1997,Road Frames,Components,Black,62,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
253,FR-R38B-58,"LL Road Frame - Black, 58",176.1997,Road Frames,Components,Black,58,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
285,FR-R38B-52,"LL Road Frame - Black, 52",176.1997,Road Frames,Components,Black,52,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
558,CS-9183,HL Crankset,179.8156,Cranksets,Components,Black,NULL,NULL,HL Crankset,Triple crankset; alumunim crank arm; flawless shifting.,Current
262,FR-R38R-44,"LL Road Frame - Red, 44",181.4857,Road Frames,Components,Red,44,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
272,FR-R38R-62,"LL Road Frame - Red, 62",181.4857,Road Frames,Components,Red,62,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
264,FR-R38R-48,"LL Road Frame - Red, 48",181.4857,Road Frames,Components,Red,48,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
266,FR-R38R-52,"LL Road Frame - Red, 52",181.4857,Road Frames,Components,Red,52,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
268,FR-R38R-58,"LL Road Frame - Red, 58",181.4857,Road Frames,Components,Red,58,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
270,FR-R38R-60,"LL Road Frame - Red, 60",181.4857,Road Frames,Components,Red,60,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
426,FR-M63B-40,"ML Mountain Frame - Black, 40",185.8193,Mountain Frames,Components,Black,40,"M ",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Outdate
427,FR-M63B-44,"ML Mountain Frame - Black, 44",185.8193,Mountain Frames,Components,Black,44,"M ",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Outdate
428,FR-M63B-48,"ML Mountain Frame - Black, 48",185.8193,Mountain Frames,Components,Black,48,"M ",ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,Outdate
409,FR-M63B-38,"ML Mountain Frame - Black, 38",185.8193,Mountain Frames,Components,Black,38,"M ",ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,Outdate
271,FR-R38R-60,"LL Road Frame - Red, 60",187.1571,Road Frames,Components,Red,60,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
269,FR-R38R-58,"LL Road Frame - Red, 58",187.1571,Road Frames,Components,Red,58,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
267,FR-R38R-52,"LL Road Frame - Red, 52",187.1571,Road Frames,Components,Red,52,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
265,FR-R38R-48,"LL Road Frame - Red, 48",187.1571,Road Frames,Components,Red,48,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
273,FR-R38R-62,"LL Road Frame - Red, 62",187.1571,Road Frames,Components,Red,62,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
263,FR-R38R-44,"LL Road Frame - Red, 44",187.1571,Road Frames,Components,Red,44,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
549,FR-M63S-38,"ML Mountain Frame-W - Silver, 38",199.3757,Mountain Frames,Components,Silver,38,"M ",ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,Current
511,FR-M63S-40,"ML Mountain Frame-W - Silver, 40",199.3757,Mountain Frames,Components,Silver,40,"M ",ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,Current
512,FR-M63S-42,"ML Mountain Frame-W - Silver, 42",199.3757,Mountain Frames,Components,Silver,42,"M ",ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,Current
